date,portfolio,scope,nav_usd,daily_net_cf_usd,daily_return_twr,cumulative_twr,mtd_return,qtd_return,ytd_return,itd_return,irr_annualized
2025-10-24,FGI,equity_sub,2796370.71254063,0.0,0.0039296512,0.3795787816,-0.0024817028,-0.0024817028,0.3795787816,0.3795787816,0.3165614429
2025-10-25,FGI,equity_sub,2796370.71254063,0.0,0.0,0.3795787816,-0.0024817028,-0.0024817028,0.3795787816,0.3795787816,0.3165614429
2025-10-26,FGI,equity_sub,2796370.71254063,0.0,0.0,0.3795787816,-0.0024817028,-0.0024817028,0.3795787816,0.3795787816,0.3165614429
2025-10-27,FGI,equity_sub,2822260.0408326,0.0,0.0092581889,0.3923511826,0.00675351,0.00675351,0.3923511826,0.3923511826,0.3165614429
2025-10-28,FGI,equity_sub,2823278.02820938,0.0,0.0003606994,0.3928534027,0.0071166454,0.0071166454,0.3928534027,0.3928534027,0.3165614429
2025-10-29,FGI,equity_sub,2823136.53285176,0.0,-5.01174e-05,0.3927835965,0.0070661713,0.0070661713,0.3927835965,0.3927835965,0.3165614429
2025-10-30,FGI,equity_sub,2817647.34655987,0.0,-0.0019443574,0.3900755275,0.0051080748,0.0051080748,0.3900755275,0.3900755275,0.3165614429
2025-10-31,FGI,equity_sub,2788073.13391126,0.0,-0.010496066,0.375485203,-0.005441606,-0.005441606,0.375485203,0.375485203,0.3165614429
2025-11-01,FGI,equity_sub,2788073.13391126,0.0,0.0,0.375485203,0.0,-0.005441606,0.375485203,0.375485203,0.3165614429
2025-11-02,FGI,equity_sub,2788073.13391126,0.0,0.0,0.375485203,0.0,-0.005441606,0.375485203,0.375485203,0.3165614429
2025-11-03,FGI,equity_sub,2808813.07725418,0.0,0.0074388089,0.3857171746,0.0074388089,0.0019567239,0.3857171746,0.3857171746,0.3165614429
2025-11-04,FGI,equity_sub,2800158.65600117,0.0,-0.0030811667,0.381447549,0.004334722,-0.0011304718,0.381447549,0.381447549,0.3165614429
2025-11-05,FGI,equity_sub,2803133.08785671,0.0,0.0010622369,0.3829149736,0.0054015635,-6.94357e-05,0.3829149736,0.3829149736,0.3165614429
2025-11-06,FGI,equity_sub,2845558.66339905,0.0,0.0151350557,0.4038454688,0.0206183722,0.0150645691,0.4038454688,0.4038454688,0.3165614429
2025-11-07,FGI,equity_sub,2835040.77328398,0.0,-0.0036962479,0.398656508,0.0168459137,0.0113126389,0.398656508,0.398656508,0.3165614429
2025-11-08,FGI,equity_sub,2835040.77328398,0.0,0.0,0.398656508,0.0168459137,0.0113126389,0.398656508,0.398656508,0.3165614429
2025-11-09,FGI,equity_sub,2835040.77328398,0.0,0.0,0.398656508,0.0168459137,0.0113126389,0.398656508,0.398656508,0.3165614429
2025-11-10,FGI,equity_sub,2879586.55646101,0.0,0.0157125723,0.4206329995,0.0328231786,0.0272029619,0.4206329995,0.4206329995,0.3165614429
2025-11-11,FGI,equity_sub,2891753.89215519,0.0,0.0042253759,0.426635708,0.0371872448,0.0315432805,0.426635708,0.426635708,0.3165614429
2025-11-12,FGI,equity_sub,2927984.73651714,0.0,0.0125290207,0.4445100563,0.0501821853,0.0444675077,0.4445100563,0.4445100563,0.3165614429
2025-11-13,FGI,equity_sub,2926196.31097278,0.0,-0.0006108043,0.4436277434,0.0495407295,0.0438295425,0.4436277434,0.4436277434,0.3165614429
2025-11-14,FGI,equity_sub,2892105.32094017,0.0,-0.0116502744,0.426809084,0.037313292,0.0316686418,0.426809084,0.426809084,0.3165614429
2025-11-15,FGI,equity_sub,2892105.32094017,0.0,0.0,0.426809084,0.037313292,0.0316686418,0.426809084,0.426809084,0.3165614429
2025-11-16,FGI,equity_sub,2892105.32094017,0.0,0.0,0.426809084,0.037313292,0.0316686418,0.426809084,0.426809084,0.3165614429
2025-11-17,FGI,equity_sub,2875409.00740037,0.0,-0.0057730655,0.4185720217,0.0313248144,0.0257127512,0.4185720217,0.4185720217,0.3165614429
2025-11-18,FGI,equity_sub,3130479.63887905,-297530.84047812,-0.0147666676,0.3976244402,0.0160955837,0.0105663919,0.3976244402,0.3976244402,0.3165614429
2025-11-19,FGI,equity_sub,3128255.12574721,0.0,-0.0007105982,0.3966312908,0.015373548,0.0098482853,0.3966312908,0.3966312908,0.3165614429
