date,portfolio,scope,position_count,total_market_value_usd,total_cost_basis_usd,total_unrealized_pnl_usd,total_realized_pnl_usd,total_pnl_usd,daily_return_pct
2025-06-21,FGI,equity_sub,17,2692474.47262231,2394626.66095808,297847.81166422,166691.76810272,464539.57976696,0.0
2025-06-22,FGI,equity_sub,17,2692474.47262231,2394626.66095808,297847.81166422,166691.76810272,464539.57976696,0.0
2025-06-23,FGI,equity_sub,17,2701041.61059458,2394587.16737368,306454.44322087,166689.01892452,473143.46214539,0.00318188
2025-06-24,FGI,equity_sub,17,2740240.68212035,2394574.84242809,345665.83969225,166688.16097577,512354.00066802,0.01451258
2025-06-25,FGI,equity_sub,17,2756171.94823077,2394519.94501122,361652.00321952,166684.33952516,528336.34274469,0.00581382
2025-06-26,FGI,equity_sub,17,2738702.68404405,2394870.90051673,343831.78352733,166708.76980262,510540.55332995,-0.00633823
2025-06-27,FGI,equity_sub,17,2733724.0649681,2394730.57432848,338993.49063963,166699.00159081,505692.49223045,-0.00181787
2025-06-28,FGI,equity_sub,17,2733724.0649681,2394730.57432848,338993.49063963,166699.00159081,505692.49223045,0.0
2025-06-29,FGI,equity_sub,17,2733724.0649681,2394730.57432848,338993.49063963,166699.00159081,505692.49223045,0.0
2025-06-30,FGI,equity_sub,17,2718390.61411847,2394626.66095808,323763.9531604,166691.76810272,490455.72126313,-0.005609
2025-07-01,FGI,equity_sub,17,2718252.30114949,2394504.82124847,323747.47990102,166683.28674864,490430.76664967,-5.088e-05
2025-07-02,FGI,equity_sub,17,2732195.54695014,2395157.71442622,337037.83252392,166728.7351352,503766.56765913,0.00512949
2025-07-03,FGI,equity_sub,17,2721147.32605378,2394535.35072338,326611.97533043,166685.41192841,493297.38725883,-0.00404372
2025-07-04,FGI,equity_sub,17,2712507.82458451,2395175.91895551,317331.90562902,166730.00236622,484061.90799524,-0.00317495
2025-07-05,FGI,equity_sub,17,2712507.82458451,2395175.91895551,317331.90562902,166730.00236622,484061.90799524,0.0
2025-07-06,FGI,equity_sub,17,2712507.82458451,2395175.91895551,317331.90562902,166730.00236622,484061.90799524,0.0
2025-07-07,FGI,equity_sub,17,2715650.77268694,2394535.35072338,321115.42196357,166685.41192841,487800.83389198,0.00115869
2025-07-08,FGI,equity_sub,17,2736287.74708685,2394535.35072338,341752.39636348,166685.41192841,508437.8082919,0.00759927
2025-07-09,FGI,equity_sub,17,2726441.17701023,2394584.08660721,331857.09040303,166688.80447005,498545.89487306,-0.00359851
2025-07-10,FGI,equity_sub,17,2740125.5777706,2394535.35072338,345590.22704721,166685.41192841,512275.63897562,0.00501914
2025-07-11,FGI,equity_sub,17,2755737.10410853,2394596.40967318,361140.69443531,166689.66228796,527830.35672328,0.00569738
2025-07-12,FGI,equity_sub,17,2755737.10410853,2394596.40967318,361140.69443531,166689.66228796,527830.35672328,0.0
2025-07-13,FGI,equity_sub,17,2755737.10410853,2394596.40967318,361140.69443531,166689.66228796,527830.35672328,0.0
2025-07-14,FGI,equity_sub,17,2770497.46965982,2394587.16737368,375910.30228612,166689.01892452,542599.32121065,0.00535623
2025-07-15,FGI,equity_sub,17,2794021.04867441,2394532.26995687,399488.77871754,166685.19747393,566173.97619147,0.00849074
2025-07-16,FGI,equity_sub,17,2792847.46705588,2394565.88019826,398281.58685758,166687.53710818,564969.12396578,-0.00042003
2025-07-17,FGI,equity_sub,17,2789546.97232288,2394535.35072338,395011.62159952,166685.41192841,561697.03352792,-0.00118177
2025-07-18,FGI,equity_sub,17,2811993.30659302,2394931.95946656,417061.34712645,166713.02016218,583774.36728862,0.00804659
2025-07-19,FGI,equity_sub,17,2811993.30659302,2394931.95946656,417061.34712645,166713.02016218,583774.36728862,0.0
2025-07-20,FGI,equity_sub,17,2811993.30659302,2394931.95946656,417061.34712645,166713.02016218,583774.36728862,0.0
2025-07-21,FGI,equity_sub,17,2829041.01568917,2394993.02029606,434047.99539313,166717.27065259,600765.26604569,0.0060625
2025-07-22,FGI,equity_sub,17,1913224.5785959,1615356.29034347,297868.28825242,309370.59127008,607238.87952249,-0.32371975
2025-07-23,FGI,equity_sub,17,1931304.7792813,1615288.4612891,316016.31799222,309357.60075228,625373.91874447,0.00945012
2025-07-24,FGI,equity_sub,17,1939126.90546768,1615341.93206308,323784.97340461,309367.84139394,633152.81479854,0.00405018
2025-07-25,FGI,equity_sub,17,1921677.99991234,1615245.19498719,306432.80492516,309349.31445562,615782.1193808,-0.00899833
2025-07-26,FGI,equity_sub,17,1921677.99991234,1615245.19498719,306432.80492516,309349.31445562,615782.1193808,0.0
2025-07-27,FGI,equity_sub,17,1921677.99991234,1615245.19498719,306432.80492516,309349.31445562,615782.1193808,0.0
2025-07-28,FGI,equity_sub,17,1925581.58995394,1615327.38358991,310254.206364,309365.05509241,619619.26145641,0.00203134
2025-07-29,FGI,equity_sub,17,1922497.62185414,1615393.32339687,307104.29845727,309377.68378439,616481.98224168,-0.00160158
2025-07-30,FGI,equity_sub,17,1919120.06136258,1615306.97718181,303813.08418077,309361.146888,613174.23106876,-0.00175686
2025-07-31,FGI,equity_sub,17,1895667.74967926,1615370.64989186,280297.0997874,309373.34138904,589670.44117644,-0.01222035
2025-08-01,FGI,equity_sub,17,1881417.19906248,1615245.19498719,266172.0040753,309349.31445562,575521.31853095,-0.00751743
2025-08-02,FGI,equity_sub,17,1881417.19906248,1615245.19498719,266172.0040753,309349.31445562,575521.31853095,0.0
2025-08-03,FGI,equity_sub,17,1881417.19906248,1615245.19498719,266172.0040753,309349.31445562,575521.31853095,0.0
2025-08-04,FGI,equity_sub,17,1887213.99592308,1615345.89948265,271868.09644045,309368.60122814,581236.69766858,0.00308108
2025-08-05,FGI,equity_sub,17,1898981.74467049,1615381.04202066,283600.70264983,309375.33167379,592976.03432363,0.00623551
2025-08-06,FGI,equity_sub,17,1908055.18522969,1615265.78905205,292789.39617765,309353.25859975,602142.65477738,0.00477806
2025-08-07,FGI,equity_sub,17,1921333.30240302,1615347.97765478,305985.32474821,309368.99923654,615354.32398473,0.00695898
2025-08-08,FGI,equity_sub,19,2012735.06734675,1724635.33876369,288099.72858307,321817.96420224,609917.69278531,0.04757205
2025-08-09,FGI,equity_sub,19,2012735.06734675,1724635.33876369,288099.72858307,321817.96420224,609917.69278531,0.0
2025-08-10,FGI,equity_sub,19,2012735.06734675,1724635.33876369,288099.72858307,321817.96420224,609917.69278531,0.0
2025-08-11,FGI,equity_sub,19,2020150.4490695,1724573.81348053,295576.63558898,321806.48354838,617383.11913736,0.00368423
2025-08-12,FGI,equity_sub,19,2030458.43275332,1724556.06213204,305902.37062128,321803.17113636,627705.54175765,0.00510258
2025-08-13,FGI,equity_sub,19,2064910.58023575,1724841.69869761,340068.88153815,321856.47108675,661925.35262491,0.01696767
2025-08-14,FGI,equity_sub,19,2055684.00387367,1724661.56170059,331022.44217305,321822.85741763,652845.29959068,-0.00446827
2025-08-15,FGI,equity_sub,19,2046360.43781044,1727875.56971564,318484.86809481,322422.59319545,640907.46129025,-0.00453551
2025-08-16,FGI,equity_sub,19,2046360.43781044,1727875.56971564,318484.86809481,322422.59319545,640907.46129025,0.0
2025-08-17,FGI,equity_sub,19,2046360.43781044,1727875.56971564,318484.86809481,322422.59319545,640907.46129025,0.0
2025-08-18,FGI,equity_sub,19,2036307.24490448,1730059.59475523,306247.65014924,322830.13354686,629077.78369608,-0.00491272
2025-08-19,FGI,equity_sub,19,2033621.2508565,1731119.23099759,302502.01985894,323027.86229024,625529.88214915,-0.00131905
2025-08-20,FGI,equity_sub,18,1974492.63916114,1668225.62061072,306267.01855044,321374.44820089,627641.46675134,-0.02907553
2025-08-21,FGI,equity_sub,18,1982988.64643628,1665513.57368409,317475.07275224,320851.9873456,638327.06009784,0.00430288
2025-08-22,FGI,equity_sub,19,2094090.64781019,1765768.25294561,328322.39486458,320782.2162446,649104.61110918,0.05602755
2025-08-23,FGI,equity_sub,19,2094090.64781019,1765768.25294561,328322.39486458,320782.2162446,649104.61110918,0.0
2025-08-24,FGI,equity_sub,19,2094090.64781019,1765768.25294561,328322.39486458,320782.2162446,649104.61110918,0.0
2025-08-25,FGI,equity_sub,19,2114287.51227444,1765384.19301678,348903.31925767,320712.44514358,669615.76440124,0.00964469
2025-08-26,FGI,equity_sub,19,2093334.59446751,1766039.43799336,327295.15647414,320831.48167933,648126.63815348,-0.00991016
2025-08-27,FGI,equity_sub,19,2077870.31478674,1770372.03257403,307498.28221271,321618.5721083,629116.854321,-0.00738739
2025-08-28,FGI,equity_sub,19,2080431.38206534,1772503.0688818,307928.31318353,322005.71155799,629934.02474151,0.00123254
2025-08-29,FGI,equity_sub,21,2405990.37454327,2092137.4683326,313852.90621069,321595.8629251,635448.76913578,0.15648629
2025-08-30,FGI,equity_sub,21,2405990.37454327,2092137.4683326,313852.90621069,321595.8629251,635448.76913578,0.0
2025-08-31,FGI,equity_sub,21,2405990.37454327,2092137.4683326,313852.90621069,321595.8629251,635448.76913578,0.0
2025-09-01,FGI,equity_sub,21,2440429.31911661,2091769.83257556,348659.48654104,321539.35127597,670198.83781706,0.01431383
2025-09-02,FGI,equity_sub,21,2434235.79675951,2091498.90513656,342736.89162297,321497.7052824,664234.59690537,-0.00253788
2025-09-03,FGI,equity_sub,21,2426678.26447081,2088554.91001997,338123.35445081,321045.16491914,659168.51936997,-0.00310468
2025-09-04,FGI,equity_sub,21,2407341.268707,2090458.69105012,316882.57765689,321337.8073064,638220.38496328,-0.0079685
2025-09-05,FGI,equity_sub,24,2778139.77906611,2459356.04322062,318783.73584551,254827.92700234,573611.66284785,0.15402823
2025-09-06,FGI,equity_sub,24,2778139.77906611,2459356.04322062,318783.73584551,254827.92700234,573611.66284785,0.0
2025-09-07,FGI,equity_sub,24,2778139.77906611,2459356.04322062,318783.73584551,254827.92700234,573611.66284785,0.0
2025-09-08,FGI,equity_sub,24,2800986.99724313,2459930.04285029,341056.95439283,254887.40238255,595944.35677538,0.00822393
2025-09-09,FGI,equity_sub,24,2802277.69203407,2461539.70305874,340737.98897533,255054.18847081,595792.17744616,0.0004608
2025-09-10,FGI,equity_sub,24,2828806.3556989,2463407.77484453,365398.58085436,255247.75005861,620646.33091296,0.00946682
2025-09-11,FGI,equity_sub,24,2824444.5846541,2462709.14181766,361735.44283646,255175.36070022,616910.8035367,-0.00154191
2025-09-12,FGI,equity_sub,24,2829314.12640576,2463025.29962046,366288.82678528,255208.11961601,621496.9464013,0.00172407
2025-09-13,FGI,equity_sub,24,2829314.12640576,2463025.29962046,366288.82678528,255208.11961601,621496.9464013,0.0
2025-09-14,FGI,equity_sub,24,2829314.12640576,2463025.29962046,366288.82678528,255208.11961601,621496.9464013,0.0
2025-09-15,FGI,equity_sub,24,2836796.76178169,2465684.33854128,371112.4232404,255483.63782651,626596.0610669,0.00264468
2025-09-16,FGI,equity_sub,24,2835141.83041432,2465750.94371528,369390.886699,255490.53916904,624881.42586804,-0.00058338
2025-09-17,FGI,equity_sub,24,2845251.25365013,2465598.86637745,379652.38727267,255474.78156744,635127.16884008,0.00356576
2025-09-18,FGI,equity_sub,24,2811088.23365214,2466702.27354954,344385.96010259,255589.11188697,599975.07198955,-0.01200703
